TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,EBY DIFF INDUSTRY
6,Kayden Allen,Long Island Lutheran,Cincinnati,Scoring Guard,Perimeter Stopper,"6'5""",49,48,56,75,65,95,64.7,58.6,-35.75
6,Elijah Williams,TMI Episcopal,Baylor,Scoring Wing,Perimeter Stopper,"6'6""",60,26,51,27,55,96,52.5,43.8,-54
6,Gage Mayfield,Hale County,Oklahoma,Play Finishing Forward,Helper,"6'8""",82,60,57,69,78,97,73.8,69.2,-24.75
6,Chase Foster,IMG Academy,Pittsburgh,Scoring Forward,Helper,"6'8""",40,33,68,47,69,98,59.2,51.4,-50.75
6,Gavin Placide,Family Faith Academy,Wake Forest,Scoring Forward,Helper,"6'9""",45,50,49,60,141,99,74.0,69,-25
6,Louka Letailleur,Gravelines (FRA),?,Scoring Wing,Perimeter Stopper,"6'6""",,,,,,100,100.0,,
6,Yohance Connor,Combine Academy/OTE,Ole Miss,Combo Guard,Point-of-Attack,"6'2""",200,105,116,200,200,101,153.7,164.2,75.25
6,Ognjen Srzentic,KK Mega (SRB),?,Wing Handler,???,"6'7""",,,,,76,102,89.0,76,-83
6,Joe Sterling,Harvard Westlake,Texas,Combo Guard,Chaser,"6'3""",138,107,115,100,112,103,112.5,91.4,11.25
6,Alex Egbuonu,Lawrence Academy,Marquette,Off-Ball Wing,Perimeter Stopper,"6'6""",106,75,117,65,200,104,111.2,89.2,7.5
6,Ricards Aizpurs,Stella Azzurra (LAT),?,Combo Guard,Chaser,"6'5""",,,,,,105,105.0,,
6,Joaquim Taboada,Burgos (URU),?,Combo Guard,Chaser,"6'3""",,,,,,106,106.0,,
6,Maxime Meyer,IMG Academy (CAN),Duke,Connector Big,Rim Protector,"7'2""",77,95,60,125,99,107,93.8,91.2,-8
6,Marcis Ponder,Gilion Basketball Academy,Florida St.,Play Finishing Big,Rim Protector,"6'11""",47,68,84,62,107,108,79.3,56.8,-37
6,Aleksandr Panasiuk,Gran Canaria (RUS),?,Combo Guard,???,"6'4""",,,,,,109,109.0,,
6,Aidan Chronister,The New School,Missouri,Movement Shooter,Chaser,"6'7""",150,71,78,89,133,110,105.2,104.2,0.75
6,Gallagher Placide,Family Faith Academy,Wake Forest,Off-Ball Wing,Perimeter Stopper,"6'8""",58,78,80,125,114,111,94.3,75,-17.25
6,Aiden Derkack,SPIRE Academy,Providence,Slasher,Perimeter Stopper,"6'5""",121,53,53,48,70,112,76.2,58.4,-39
6,Adama Tambedou,Putnam Science Academy,Maryland,Slasher,Versatile Big,"6'8""",94,122,110,150,137,113,121.0,100.6,
7,Endurance Aiyamenkhue,Ratiopharm Ulm (NED),?,Play Finishing Big,Rim Protector,"6'11""",,,,,45,114,79.5,45,-102.75
7,Trey Pearson,Pope John Paul II,High Point,Primary Ball Handler,Point-of-Attack,"6'2""",125,116,122,150,106,115,122.3,123.8,9.25
7,Jacob Lanier,Parkview Magnet,Nebraska,Scoring Guard,Perimeter Stopper,"6'5""",127,100,101,86,200,116,121.7,102.6,
7,Darius Bivens,Bishop O'Connell,?,Primary Ball Handler,???,"6'0""",99,85,98,51,101,117,91.8,84,
7,Patrick Hassan,Trento (ITA),?,Primary Initiator,???,"6'2""",,,,,,118,118.0,,
7,Felipe Quinones,Columbus (PUR),Florida Atlantic,Combo Wing,Perimeter Stopper,"6'5""",64,118,86,74,200,119,110.2,108.4,
7,Eli Sancomb,Wheeling Central Catholic,Liberty,Primary Ball Handler,Helper,"6'5""",135,102,121,125,119,120,120.3,96.2,
7,Jayden Hodge,Monteverde,Northwestern,Slasher,Helper,"6'6""",81,64,67,81,62,121,79.3,57.6,
7,Ignas Stombergas,Zalgris (LTU),?,Play Finishing Big,Paint Prescence,"6'10""",,,,,,122,122.0,,
7,Luke Barnett,Mater Dei,Kansas,Movement Shooter,Helper,"6'3""",115,144,126,125,140,123,128.8,104.8,8
7,Shane Pendergrass,Hargrave Military Academy (HS),George Mason,Play Finishing Forward,Helper,"6'8""",96,142,148,150,125,124,130.8,102.6,
7,Slim Rogers,Centennial,Stanford,Primary Ball Handler,Point-of-Attack,"6'2""",129,103,127,125,126,125,122.5,96.6,
7,Kaiden Bailey,Santa Margarita Catholic,Georgia Tech,Primary Ball Handler,Point-of-Attack,"6'2""",136,117,100,125,124,126,121.3,100.4,-0.5
7,Moustapha Diop,Overtime Elite,Georgia Tech,Play Finishing Big,Rim Protector,"6'10""",83,97,83,125,142,127,109.5,89.4,
7,Code Mbengue,Gran Canaria (SEN),?,Play Finishing Big,Rim Protector,"6'11""",,,,,,128,128.0,,
,Neiko Mundey,Prince George's Academy,Texas A&M,Primary Ball Handler,Point-of-Attack,"6'2""",88,87,71,84,52,,76.4,76.4,
,Julius Avent,Bergen Catholic,Michigan St.,Off-Ball Wing,Helper,"6'7""",79,93,65,82,64,,76.6,76.6,
,Jonathan Sanderson,La Lumiere,Notre Dame,Primary Ball Handler,Low Activity,"6'2""",98,66,72,66,113,,83.0,83,
,Dean Reuckert,Timpview,BYU,Movement Shooter,Low Activity,"6'7""",143,79,66,73,60,,84.2,84.2,
,Anthony Brown,Archbishop Carroll,Vanderbilt,Primary Ball Handler,Point-of-Attack,"6'1""",145,70,74,64,74,,85.4,85.4,
,Kevin Thomas,Monteverde,LSU,Off-Ball Wing,Perimeter Stopper,"6'7""",120,72,82,71,83,,85.6,85.6,
,Ethan Mgbako,Oak Hill Academy,Vanderbilt,Off-Ball Wing,Perimeter Stopper,"6'6""",67,65,147,93,75,,89.4,89.4,
,Joseph Hartman,The Rock School,Michigan,Combo Wing,Perimeter Stopper,"6'6""",65,94,113,87,104,,92.6,92.6,
,Chidi Nwigwe,Wasatch Academy,?,Slasher,Perimeter Disruptor,"6'7""",103,111,88,63,200,,94.2,113,
,Collin Paul,Calvary Christian Academy,Florida St.,,,"6'7""",93,86,92,125,115,,102.2,102.2,
,Will Stevens,Davidson Day,Clemson,,,"6'9""",92,149,109,125,68,,108.6,108.6,
,Jermal Jones Jr.,Monteverde,Pittsburgh,Scoring Guard,Perimeter Stopper,"6'3""",76,110,87,83,200,,111.2,111.2,
,Trent Perry,Link Academy,Kansas,Off-Ball Wing,Perimeter Stopper,"6'4""",142,120,114,78,102,,111.2,111.2,
,Jackson Sheffield ,Hoover,Vanderbilt,Play Finishing Big,Paint Prescence,"6'9""",102,138,107,95,121,,112.6,112.6,
,Alex Smith,Prolific Prep,Ohio State,Stretch Forward,Helper,"6'8""",97,140,79,125,129,,114.0,114,
,Cody Peck,Davidson Day,?,,,"6'9""",111,125,76,125,143,,116.0,116,
,Jason Singleton,Columbus Academy,Harvard,,,"6'4""",125,104,129,125,100,,116.6,116.6,
,Trey Beamer,IMG Academy,Boston College,Combo Guard,Point-of-Attack,"6'2""",104,90,136,76,200,,121.2,121.2,
,Jalyn Collingwood,Sidwell Friends,Mississippi State,,,"6'5""",128,88,97,150,149,,122.4,122.4,
,Kalek House,AZ Compass Prep,Xavier,Scoring Guard,Point-of-Attack,"6'3""",109,143,167,57,139,,123.0,123,
,Brandon Bass Jr.,Windermere Prep,Florida St.,Combo Guard,Perimeter Stopper,"6'4""",142,120,94,78,200,,126.8,126.8,
,Willie Burnett III,Gillion Academy,Mississippi State,Combo Guard,Perimeter Stopper,"6'4""",59,109,200,77,200,,129.0,129,
,Parker Robinson,Overtime Elite,Oklahoma State,,,"6'5""",84,145,151,150,125,,131.0,131,
,Josiah Johnson,Mayfair,?,,,"6'3""",122,89,200,150,94,,131.0,131,
,Christian Wiggins,Wayzata,Iowa State,Primary Ball Handler,Point-of-Attack,"6'3""",105,119,95,150,200,,133.8,133.8,
,Jackson Kiss,Utah Prep,Iowa State,,,"6'8""",133,95,124,125,200,,135.4,135.4,
,Preston Wade,Academy of Central Florida,?,Play Finishing Big,Rim Protector,"6'10""",89,136,200,91,200,,143.2,143.2,
